DiaInicio;MesInicio;AnoInicio;DiaFinal;MesFinal;AnoFinal;Pesado;Medio;Leve;Hidraulica;Termica;CARGA;EARM;ENA
04;08;1;10;08;1;684;684;684;29242.57;3921.71;33446;20.09;60.14
11;08;1;17;08;1;684;684;684;28742.71;4210.86;33554;19.22;59.86
18;08;1;24;08;1;684;684;684;28801.29;4251;33838.14;23.78;62.71
25;08;1;31;08;1;684;684;684;28746;4390.43;34118.86;17.29;58.43
01;09;1;07;09;1;684;684;684;28657.14;4191.86;33868;16.26;59.14
08;09;1;14;09;1;684;684;684;28861.71;4404.57;34273.29;15.22;61
15;09;1;21;09;1;684;684;684;28654.43;4152.14;33801.86;14.22;65
22;09;1;28;09;1;562.15;562.15;562.15;29333.71;4394.43;34704.14;13.22;65.14
29;09;1;05;10;1;562.15;562.15;562.15;30066.29;4028.57;34488;12.14;56.57
06;10;1;12;10;1;562.15;562.15;562.15;29999.29;3911.57;33943.43;11.1;58.86
13;10;1;19;10;1;562.15;562.15;562.15;30030.71;4133.86;34201.86;10.19;59
20;10;1;26;10;1;562.15;562.15;562.15;30311.71;4088;34426;9.24;63.43
27;10;1;02;11;1;562.15;562.15;562.15;30757.57;3846.86;34630.14;8.53;70.29
03;11;1;09;11;1;562.15;562.15;562.15;30988.43;3143.43;34757.14;8;63.57
10;11;1;16;11;1;562.15;562.15;562.15;29727.14;4159.86;34679.14;7.5;57.71
17;11;1;23;11;1;562.15;562.15;562.15;30072.43;4522.86;35489.71;7.39;55.71
24;11;1;30;11;1;562.15;562.15;562.15;31942.71;4506.71;36507.57;7.66;60
01;12;1;07;12;1;562.15;562.15;562.15;31248.57;4545.57;35837.29;8.81;68.14
08;12;1;14;12;1;562.15;562.15;562.15;32164.43;4791;37121.86;10.16;80.86
15;12;1;21;12;1;562.15;562.15;562.15;31296.57;4590;36468.86;10.65;79.43
22;12;1;28;12;1;562.15;562.15;562.15;28150.57;3828.14;32143.43;12.19;75.71
29;12;1;31;12;1;562.15;562.15;562.15;11826.43;1268.14;13113.86;21.06;86.33
01;01;2;04;01;2;562.15;562.15;562.15;16610.71;2339.14;19214.43;15.59;42.75
05;01;2;11;01;2;562.15;562.15;562.15;31010;4714.57;36451.57;21.14;58.29
12;01;2;18;01;2;562.15;562.15;562.15;30895;4455.29;36137.57;26.7;90.86
19;01;2;25;01;2;562.15;562.15;562.15;32936.86;3588.43;36981;32.98;99.86
26;01;2;01;02;2;319.41;319.41;319.41;34322.43;4069.86;38435;36.92;97.14
02;02;2;08;02;2;319.41;319.41;319.41;33088.57;4281.71;37415.71;40.98;96.71
09;02;2;15;02;2;319.41;319.41;319.41;31533.29;4146.57;35725.29;48.87;104.29
16;02;2;22;02;2;319.41;319.41;319.41;34778;3668.86;38488.57;49.01;91.43
23;02;2;01;03;2;319.41;319.41;319.41;35445.14;3723.14;39213.29;54.56;94.43
02;03;2;08;03;2;4;4;4;36258.14;3651.71;39952.57;58.8;99.71
09;03;2;15;03;2;4.88;4.88;4.88;38010.57;3180;41233;61.27;106.43
16;03;2;22;03;2;7.32;7.32;7.32;37800.29;3124.29;40969.71;62.49;99.57
23;03;2;29;03;2;7.04;7.04;7.04;35652.14;3189;38888.29;63.14;87.86
30;03;2;05;04;2;6.17;6.17;6.17;36549.29;3314.71;39981.71;64.2;71.71
06;04;2;12;04;2;5.72;5.72;5.72;36081.57;4061.43;40207.29;65.38;77.14
13;04;2;19;04;2;8.71;8.71;8.71;36862.86;3784.29;40692.14;65.91;74.29
20;04;2;26;04;2;8.75;8.75;8.75;36640.86;4004.57;40684.29;65.9;66.86
27;04;2;03;05;2;4;4;4;35501.29;3736;39269.29;65.6;63.43
04;05;2;10;05;2;4.38;4.38;4.38;35752;4032.71;39829.71;65.01;60.29
11;05;2;17;05;2;4;4;4;35914.86;3986.14;39947.71;64.01;56
18;05;2;24;05;2;4.13;4.13;4.13;34910.71;3991.86;38973.86;62.58;53.43
25;05;2;31;05;2;4;4;4;33170.29;3987;37200.43;61.47;52.29
01;06;2;07;06;2;5.57;5.57;5.57;35266.57;3623.86;38958.14;60.41;65.71
08;06;2;14;06;2;7.69;7.69;7.69;35378;4092.14;39673;59.15;67
15;06;2;21;06;2;7.73;7.73;7.73;35182;3900.71;39162.14;57.94;65.57
22;06;2;28;06;2;7.61;7.61;7.61;34725.29;3699.57;38469.29;56.64;63.29
29;06;2;05;07;2;15.89;15.89;15.89;34971.43;3603.71;38620.57;55.51;67
06;07;2;12;07;2;17.52;17.52;17.52;34326.57;3676.29;38046.86;54.25;70.14
13;07;2;19;07;2;17.35;17.35;17.35;34666.14;3548.29;38289;52.75;67.14
20;07;2;26;07;2;15.59;15.59;15.59;35334.43;3371.86;38751.71;51.18;65.71
27;07;2;02;08;2;15.44;15.44;15.44;35424.71;3215.57;38686.43;49.61;66.29
03;08;2;09;08;2;13.52;13.52;13.52;35987.86;3242.29;39274.71;47.93;72
10;08;2;16;08;2;11.72;11.72;11.72;36485;3165.29;39692.14;46.18;69.57
17;08;2;23;08;2;12.41;12.41;12.41;36749.57;3203.86;39998;44.7;67.43
24;08;2;30;08;2;14.07;14.07;14.07;4612.14;0.29;5630.43;42.87;66.14
31;08;2;06;09;2;5.93;5.93;5.86;5373.86;0;5825.57;40.78;67.14
07;09;2;13;09;2;5.87;5.81;5.65;5433.14;0;5784.14;38.91;65.86
14;09;2;20;09;2;5.54;5.54;5.54;5549.14;0;5853.86;36.76;65
21;09;2;27;09;2;4.93;4.87;4.83;5319.71;0;5921.29;34.62;65
28;09;2;04;10;2;4;4;4;4995.86;0.43;5929.43;32.8;60.43
05;10;2;11;10;2;4;4;4;5098.43;9.29;5930.57;31.68;60.57
12;10;2;18;10;2;4.06;4;4;5117.14;6.43;6031.57;29.49;74
